no,nama_lama,nama_baru
01,WhatsApp Image 2026-08-04 at 08.48.20 (1).jpeg,Air_Mineral.jpeg
02,WhatsApp Image 2026-08-04 at 08.48.20 (2).jpeg,Cimol_Polos.jpeg
03,WhatsApp Image 2026-08-04 at 08.48.20.jpeg,Cipop_Original.jpeg
04,WhatsApp Image 2026-08-04 at 08.48.21 (1).jpeg,Kerupuk_Putih.jpeg
05,WhatsApp Image 2026-08-04 at 08.48.21.jpeg,Cimol_Keju.jpeg
06,WhatsApp Image 2026-08-04 at 08.48.22 (1).jpeg,Kopi_Goodday.jpeg
07,WhatsApp Image 2026-08-04 at 08.48.22 (2).jpeg,Indomie_Salted_Egg_Goreng.jpeg
08,WhatsApp Image 2026-08-04 at 08.48.22 (3).jpeg,Indomie_Polos_Kari_Kuah.jpeg
09,WhatsApp Image 2026-08-04 at 08.48.22.jpeg,French_Fries.jpeg
10,WhatsApp Image 2026-08-04 at 08.48.23 (1).jpeg,Indomie_Karimy.jpeg
11,WhatsApp Image 2026-08-04 at 08.48.23 (2).jpeg,Indomie_Tekor.jpeg
12,WhatsApp Image 2026-08-04 at 08.48.23 (3).jpeg,Indomie_So_Tekor.jpeg
13,WhatsApp Image 2026-08-04 at 08.48.23.jpeg,Indomie_Goreng_Kari.jpeg
14,WhatsApp Image 2026-08-04 at 08.48.24 (1).jpeg,Indomie_Polos_Kari.jpeg
15,WhatsApp Image 2026-08-04 at 08.48.24 (2).jpeg,Indomie_Polos_Rendang.jpeg
16,WhatsApp Image 2026-08-04 at 08.48.24 (3).jpeg,Indomie_Polos_Soto.jpeg
17,WhatsApp Image 2026-08-04 at 08.48.24.jpeg,Indomie_Polos_Goreng.jpeg
18,WhatsApp Image 2026-08-04 at 08.48.25 (1).jpeg,Indomie_Goreng_Soto.jpeg
19,WhatsApp Image 2026-08-04 at 08.48.25 (2).jpeg,Indomie_Rumipang_Special.jpeg
20,WhatsApp Image 2026-08-04 at 08.48.25.jpeg,Indomie_Salted_Egg_Kuah.jpeg
21,WhatsApp Image 2026-08-04 at 08.48.26 (1).jpeg,Kopi_Kapal_Api.jpeg
22,WhatsApp Image 2026-08-04 at 08.48.26 (2).jpeg,Lychee_Peach_Tea.jpeg
23,WhatsApp Image 2026-08-04 at 08.48.26 (3).jpeg,Milo.jpeg
24,WhatsApp Image 2026-08-04 at 08.48.26.jpeg,Topping_Keju.jpeg
25,WhatsApp Image 2026-08-04 at 08.48.27 (1).jpeg,Topping_Mozarella.jpeg
26,WhatsApp Image 2026-08-04 at 08.48.27 (2).jpeg,Tekor_Rice.jpeg
27,WhatsApp Image 2026-08-04 at 08.48.27 (3).jpeg,Nugget.jpeg
28,WhatsApp Image 2026-08-04 at 08.48.27.jpeg,Mix_Platter.jpeg
29,WhatsApp Image 2026-08-04 at 08.48.28 (1).jpeg,Rocokang.jpeg
30,WhatsApp Image 2026-08-04 at 08.48.28 (2).jpeg,Rocosu.jpeg
31,WhatsApp Image 2026-08-04 at 08.48.28.jpeg,Rochrunchy.jpeg
32,WhatsApp Image 2026-08-04 at 08.48.29 (1).jpeg,Rosisir.jpeg
33,WhatsApp Image 2026-08-04 at 08.48.29 (2).jpeg,Rokesu.jpeg
34,WhatsApp Image 2026-08-04 at 08.48.29.jpeg,Rokemsu.jpeg
35,WhatsApp Image 2026-08-04 at 08.48.30 (1).jpeg,Roberry.jpeg
36,WhatsApp Image 2026-08-04 at 08.48.30 (2).jpeg,Roposu.jpeg
37,WhatsApp Image 2026-08-04 at 08.48.30 (3).jpeg,Rotekor.jpeg
38,WhatsApp Image 2026-08-04 at 08.48.30.jpeg,Romilo.jpeg
39,WhatsApp Image 2026-08-04 at 08.48.31 (1).jpeg,Roteso.jpeg
40,WhatsApp Image 2026-08-04 at 08.48.31 (2).jpeg,Cipop_Japanese_Mentai.jpeg
41,WhatsApp Image 2026-08-04 at 08.48.31 (3).jpeg,Cipop_Cheese.jpeg
42,WhatsApp Image 2026-08-04 at 08.48.31.jpeg,Rotella.jpeg
43,WhatsApp Image 2026-08-04 at 08.48.32 (1).jpeg,Cipop_Matah_Bali.jpeg
44,WhatsApp Image 2026-08-04 at 08.48.32 (2).jpeg,Teh_Tawar.jpeg
45,WhatsApp Image 2026-08-04 at 08.48.32 (3).jpeg,Es_Teh_Manis.jpeg
46,WhatsApp Image 2026-08-04 at 08.48.32.jpeg,Cipop_Salted_Egg.jpeg
47,WhatsApp Image 2026-08-04 at 08.48.33 (1).jpeg,Topping_Telur_Dadar.jpeg
48,WhatsApp Image 2026-08-04 at 08.48.33.jpeg,Teh_Tarik.jpeg
